accountExternalIdDebit,accountExternalIdCredit,transferTypeId,value
8b1ed856-7cc9-422f-ab74-56192b21368e,542c9d1a-41bd-4b08-87a3-7d2a01bb8990,1,1747.85
70bf863d-640d-41d8-9de8-7a0b86484745,dfb306ac-1fc5-4efa-bc7b-5bafd8263f30,2,242.97
1a9860d3-3688-4f1c-aeb0-993626c15784,3dbc0113-eb87-4f80-be03-52ebe21b5cb2,3,1205.49
917ef3e4-4517-4f27-a25b-3f3ed8251f98,7b2c15b0-4c22-4a5a-a86d-8202576af96a,1,1166.8
57ea3309-212b-481a-ab94-1d095676b22b,e4c8893b-67f2-4fa3-b461-a4cbf4f9d34c,3,1977.66
5cc2603e-2978-4c6f-a8f8-d98b8cbf6cf1,e4ca9f0e-b852-4309-8de8-17025aa2d33e,2,99.36
469447f1-0c23-4788-9786-0d3abe821049,5de7cc0e-421a-48f4-9c7a-63304dcdc524,1,1821.79
e5384a51-60df-4c09-9469-9b57c59dfed8,8c6aaf5c-0b4d-40c1-9db5-b012a1a42b23,3,1955.41
aaff0ea6-2560-4d15-994a-dfc2c5fe4c7b,432211dd-56d7-461e-b12b-f8251225c33d,2,586.63
20e09e76-1683-4b23-9fc6-b71d5b6552d9,123515c1-1df7-4c3c-9165-8679b6ea8ee4,1,982.86
c1420d6d-5490-4779-acfa-cb2849141ed4,d0134ff3-1f21-4fe4-a099-241acaf515c0,1,1921.68
2c5369b9-93a4-4b86-aa0c-b3bd22fe1d6a,b59fd265-04e9-4dd0-b2a3-9eddb8008bf5,2,54.36
8076a93e-847b-4b4e-91a6-81ac3380cb3a,6af01d9b-4e54-46be-b17e-d391c24f6b19,3,996.33
9b246c1f-606a-4e06-96a5-eef9050400bf,97b1c915-fd0d-4453-9667-24145859372d,1,968.8
2fea57d0-42ee-47c3-8215-2466feb882e8,0131c1f3-f26a-4d5c-a9d7-950fcefd27ea,1,1652.0
604e88c3-ff9f-4ac9-86da-b3d00ed2d21a,ec430d9a-75f5-407e-8802-08ebf18b396b,1,1947.39
bfd017aa-ae1b-4bb1-9386-54f64accdc53,c2b6b777-78bb-4496-895c-abe06ce263ae,1,734.3
7dd8fcb9-8983-42dd-a019-d8b0a2134af0,3a632ddf-013a-4beb-8a2f-042427c6277f,1,369.84
d410c81d-88d2-4d4b-b806-76a4a7ebd05d,6d352154-e298-45a0-bb35-df34c2402d43,1,305.46
4edadf3c-b558-4b9c-9662-48a404684386,ae4b7dab-9885-4f39-8c7f-66c20b813502,2,849.92
af91e185-55f2-45d8-8a91-20e2e80e896b,7856e5f3-7d10-4bb4-8673-c24a7678f7eb,2,1731.45
8118a5d0-6d20-4af6-937c-97e500c82dda,ad1b734d-3b77-48c8-98cf-23d60939c55b,2,1149.12
d17c3ceb-a72b-4482-b384-5b07eb513556,796e6811-fcc0-4247-a1a6-78874b8b13ed,1,1262.35
f037cd57-970e-4d6d-ac74-673b0a1e933d,2b9a5c80-4b52-45c9-8b6b-92e1400ff68a,3,908.37
